"ids","department","bases","experience","raises","salary"
65,"statistics",83732.7786944807,3,456.876648054458,85103.408638644
66,"sociology",42963.8590365648,6,2009.91956237704,55023.376410827
67,"biology",52892.2682628036,3,527.123333862983,54473.6382643925
68,"english",58909.804710187,2,464.17330391705,59838.1513180211
69,"informatics",75131.801480893,7,1676.23975795694,86865.4797865916
70,"statistics",77693.9553953707,9,535.325692757033,82511.886630184
71,"sociology",43396.4527770877,5,2144.42563094199,54118.5809317976
72,"biology",54451.9735174254,2,509.691749257036,55471.3570159394
73,"english",62269.1111024469,7,472.368075791746,65575.6876329891
74,"informatics",67189.3118531443,8,1841.86862419359,81924.2608466931
75,"statistics",79010.4680880904,6,450.794446235523,81715.2347655036
76,"sociology",41459.7171097994,6,2139.91084517911,54299.1821808741
77,"biology",54757.0779384114,0,540.883255540393,54757.0779384114
78,"english",64685.3025443852,0,531.528709782287,64685.3025443852
79,"informatics",70064.2213444225,9,1753.249814515,85843.4696750576
80,"statistics",76512.1818967164,0,474.671328789555,76512.1818967164
81,"sociology",39101.8385533243,5,1974.50731648132,48974.375135731
82,"biology",48314.7886581719,5,482.314833952114,50726.3628279325
83,"english",56695.5309351906,6,454.286365304142,59421.2491270155
84,"informatics",76198.4940110706,3,1702.90791200008,81307.2177470708
85,"statistics",76429.2242638767,6,481.602080375887,79318.836746132
86,"sociology",38731.1277333647,9,1830.88413802907,55209.0849756263
87,"biology",46288.5746033862,5,450.600024801679,48541.5747273946
88,"english",64120.6916961819,8,498.718060809188,68110.4361826554
89,"informatics",68395.810067188,6,1595.40264128242,77968.2259148825
90,"statistics",86207.4453681707,0,528.637007856742,86207.4453681707
91,"sociology",37246.9365224242,7,2177.4231761694,52488.89875561
92,"biology",47715.2816997841,1,547.393491421826,48262.6751912059
93,"english",58797.6972302422,7,534.72468352411,62540.770014911
94,"informatics",68391.7305860668,5,1592.69734644331,76355.2173182834
95,"statistics",82575.6346806884,3,541.656191158109,84200.6032541627
96,"sociology",42107.7164337039,8,1957.88008645177,57770.7571253181
97,"biology",49774.7350367717,5,470.338272955269,52126.4264015481
98,"english",60919.5232540369,3,502.197549305856,62426.1159019545
99,"informatics",63809.8896732554,7,1641.66004448663,75301.5099846618
100,"statistics",84420.4760082066,3,537.931883335114,86034.2716582119
